pricing_plan_id,app_id,feature
1a586841-f59b-4122-bdc1-73fabd88011b,920a12d5-3e93-474f-91ec-c31c79dc1e34,Import/export products
1a586841-f59b-4122-bdc1-73fabd88011b,920a12d5-3e93-474f-91ec-c31c79dc1e34,Import/export customers
1a586841-f59b-4122-bdc1-73fabd88011b,920a12d5-3e93-474f-91ec-c31c79dc1e34,Export orders
1a586841-f59b-4122-bdc1-73fabd88011b,920a12d5-3e93-474f-91ec-c31c79dc1e34,"Files (csv, xml, xlsx)"
1a586841-f59b-4122-bdc1-73fabd88011b,920a12d5-3e93-474f-91ec-c31c79dc1e34,Import from Url
77f8a7f7-8f7b-4225-b974-4c4032eaba2e,920a12d5-3e93-474f-91ec-c31c79dc1e34,"Max import rows 5,000"
77f8a7f7-8f7b-4225-b974-4c4032eaba2e,920a12d5-3e93-474f-91ec-c31c79dc1e34,"Max export rows 5,000"
77f8a7f7-8f7b-4225-b974-4c4032eaba2e,920a12d5-3e93-474f-91ec-c31c79dc1e34,all free features plus:
77f8a7f7-8f7b-4225-b974-4c4032eaba2e,920a12d5-3e93-474f-91ec-c31c79dc1e34,+ Google Drive & Sheet
77f8a7f7-8f7b-4225-b974-4c4032eaba2e,920a12d5-3e93-474f-91ec-c31c79dc1e34,+ Cron
77f8a7f7-8f7b-4225-b974-4c4032eaba2e,920a12d5-3e93-474f-91ec-c31c79dc1e34,+ Email notifications
77f8a7f7-8f7b-4225-b974-4c4032eaba2e,920a12d5-3e93-474f-91ec-c31c79dc1e34,+ Export filters
971ecd48-923f-44b0-b03f-1718b461ff1f,920a12d5-3e93-474f-91ec-c31c79dc1e34,"Max import rows 100,000"
971ecd48-923f-44b0-b03f-1718b461ff1f,920a12d5-3e93-474f-91ec-c31c79dc1e34,"Max export rows 100,000"
971ecd48-923f-44b0-b03f-1718b461ff1f,920a12d5-3e93-474f-91ec-c31c79dc1e34,all basic features plus:
971ecd48-923f-44b0-b03f-1718b461ff1f,920a12d5-3e93-474f-91ec-c31c79dc1e34,+ Orders Delta Export
971ecd48-923f-44b0-b03f-1718b461ff1f,920a12d5-3e93-474f-91ec-c31c79dc1e34,+ 5 Parallel jobs
8b126826-8a5f-46b9-90fa-99d55aef0839,bcde8db0-84cb-43ef-a072-02e973176b00,Only 10 Agents Add
8b126826-8a5f-46b9-90fa-99d55aef0839,bcde8db0-84cb-43ef-a072-02e973176b00,Email Support
05112b03-74ad-41e1-b7fb-f4cd4d79efe5,bcde8db0-84cb-43ef-a072-02e973176b00,No Limit to Add Agents
05112b03-74ad-41e1-b7fb-f4cd4d79efe5,bcde8db0-84cb-43ef-a072-02e973176b00,Customize Chat Button / Greetings Widget / Share Button View
05112b03-74ad-41e1-b7fb-f4cd4d79efe5,bcde8db0-84cb-43ef-a072-02e973176b00,Show chat and share button in all pages
05112b03-74ad-41e1-b7fb-f4cd4d79efe5,bcde8db0-84cb-43ef-a072-02e973176b00,Live Support
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,Up to 500 products
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,Instant search
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,Smart Filter
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,Synonyms
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,Custom range sliders
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,Analytics
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,Pinning
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,Merchandising
9bc9ed1a-86a2-48d5-9710-db233f9d9a38,b805dca1-086c-407b-84b4-c366b463e7d9,"Custom Filter, Search layout"
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,"Up to 1,000 products"
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,Instant search
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,Smart Filter
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,Synonyms
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,Custom range sliders
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,Analytics
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,Pinning
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,Merchandising
1895c17d-3c9b-48be-83e7-71359e622d7e,b805dca1-086c-407b-84b4-c366b463e7d9,"Custom Filter, Search layout"
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,"Up to 2,500 products"
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,Instant search
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,Smart Filter
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,Synonyms
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,Custom range sliders
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,Analytics
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,Pinning
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,Merchandising
a6f8ef91-da51-4f1c-b727-aac8d1d3b014,b805dca1-086c-407b-84b4-c366b463e7d9,"Custom Filter, Search layout"
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,"Up to 5,000 products"
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,Instant search
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,Smart Filter
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,Synonyms
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,Custom range sliders
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,Analytics
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,Pinning
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,Merchandising
e69b9770-6432-49d3-8d50-a2335d7b7e12,b805dca1-086c-407b-84b4-c366b463e7d9,"Custom Filter, Search layout"
e9030b13-9334-413d-bfff-fa2546adacc7,d1af658c-2f86-4c13-90fd-7be50e423746,5 free imports for each tool
e9030b13-9334-413d-bfff-fa2546adacc7,d1af658c-2f86-4c13-90fd-7be50e423746,15 order imports total
e9030b13-9334-413d-bfff-fa2546adacc7,d1af658c-2f86-4c13-90fd-7be50e423746,Try out all features of the app
e9030b13-9334-413d-bfff-fa2546adacc7,d1af658c-2f86-4c13-90fd-7be50e423746,Upgrade to a plan when you are ready
75d31587-6ace-4837-9d0c-d63d57f2af7c,d1af658c-2f86-4c13-90fd-7be50e423746,Upload orders via CSV files
75d31587-6ace-4837-9d0c-d63d57f2af7c,d1af658c-2f86-4c13-90fd-7be50e423746,Custom header mapping
75d31587-6ace-4837-9d0c-d63d57f2af7c,d1af658c-2f86-4c13-90fd-7be50e423746,Custom line items
75d31587-6ace-4837-9d0c-d63d57f2af7c,d1af658c-2f86-4c13-90fd-7be50e423746,Custom pricing and discounts
75d31587-6ace-4837-9d0c-d63d57f2af7c,d1af658c-2f86-4c13-90fd-7be50e423746,Populate a customer's cart from a file!
46c875c0-4158-4d5c-afaf-cf660e91fb31,d1af658c-2f86-4c13-90fd-7be50e423746,Everything from the Single Plan
